sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
03:07,75;177,7;172,2;119,4;105,5;0,0;0,0;125;119,4; 60; 60;26,2;REFLOW
03:07,00;177,7;172,2;119,4;105,6;0,0;0,0;125;119,4; 62; 60;26,2;REFLOW
03:08,25;177,7;172,2;119,5;105,7;0,0;0,0;126;119,5; 64; 60;26,3;REFLOW
03:08,50;177,7;172,2;119,6;105,8;0,0;0,0;126;119,6; 62; 60;26,2;REFLOW
03:08,75;177,7;172,2;119,6;105,8;0,0;0,0;126;119,6; 65; 60;26,1;REFLOW
03:08,00;178,8;172,2;119,6;105,9;0,0;0,0;126;119,6; 65; 60;26,2;REFLOW
03:09,25;178,8;172,2;119,8;106,0;0,0;0,0;126;119,8; 65; 60;26,2;REFLOW
03:09,50;178,8;172,2;119,8;106,1;0,0;0,0;126;119,8; 66; 60;26,2;REFLOW
03:09,75;178,8;172,2;119,8;106,1;0,0;0,0;126;119,8; 67; 60;26,1;REFLOW
03:09,00;178,8;172,2;119,8;106,2;0,0;0,0;126;119,8; 67; 60;26,2;REFLOW
03:10,25;178,8;172,2;119,9;106,3;0,0;0,0;127;119,9; 68; 60;26,3;REFLOW
03:10,50;178,8;172,2;120,0;106,3;0,0;0,0;127;120,0; 69; 60;26,3;REFLOW
03:10,75;179,9;172,2;120,2;106,3;0,0;0,0;127;120,2; 65; 60;26,2;REFLOW
03:10,00;179,9;173,3;120,2;106,4;0,0;0,0;127;120,2; 68; 60;26,2;REFLOW
03:11,25;179,9;173,3;120,3;106,5;0,0;0,0;127;120,3; 69; 60;26,3;REFLOW
03:11,50;179,9;173,3;120,4;106,6;0,0;0,0;127;120,4; 70; 60;26,3;REFLOW
03:11,75;179,9;173,3;120,5;106,7;0,0;0,0;127;120,5; 68; 60;26,2;REFLOW
03:11,00;179,9;173,3;120,7;106,8;0,0;0,0;127;120,7; 65; 60;26,3;REFLOW
03:12,25;180,4;173,8;120,8;106,9;0,0;0,0;128;120,8; 69; 60;26,3;REFLOW
03:12,50;180,4;173,8;121,0;107,0;0,0;0,0;128;121,0; 66; 60;26,3;REFLOW
03:12,75;179,9;174,4;121,1;107,1;0,0;0,0;128;121,1; 67; 60;26,3;REFLOW
03:12,00;179,9;174,4;121,3;107,3;0,0;0,0;128;121,3; 64; 60;26,3;REFLOW
03:13,25;180,4;174,9;121,4;107,4;0,0;0,0;128;121,4; 70; 60;26,3;REFLOW
03:13,50;181,0;174,4;121,5;107,5;0,0;0,0;128;121,5; 68; 60;26,3;REFLOW
03:13,75;181,5;174,9;121,7;107,6;0,0;0,0;128;121,7; 65; 60;26,3;REFLOW
03:13,00;181,0;175,5;121,8;107,8;0,0;0,0;128;121,8; 65; 60;26,3;REFLOW
03:14,25;181,5;176,0;122,0;107,9;0,0;0,0;129;122,0; 66; 60;26,3;REFLOW
03:14,50;181,5;176,0;122,1;108,1;0,0;0,0;129;122,1; 69; 60;26,3;REFLOW
03:14,75;181,0;175,5;122,2;108,3;0,0;0,0;129;122,2; 66; 60;26,3;REFLOW
03:14,00;181,0;175,5;122,3;108,3;0,0;0,0;129;122,3; 65; 60;26,3;REFLOW
03:15,25;181,5;176,0;122,4;108,4;0,0;0,0;129;122,4; 70; 60;26,2;REFLOW
03:15,50;181,5;176,0;122,6;108,4;0,0;0,0;129;122,6; 66; 60;26,3;REFLOW
03:15,75;181,5;177,1;122,7;108,6;0,0;0,0;129;122,7; 66; 60;26,3;REFLOW
03:15,00;181,5;177,1;122,8;108,8;0,0;0,0;129;122,8; 65; 60;26,3;REFLOW
03:16,25;181,5;177,1;122,9;108,9;0,0;0,0;130;122,9; 70; 60;26,3;REFLOW
03:16,50;181,5;177,1;123,0;109,1;0,0;0,0;130;123,0; 68; 60;26,3;REFLOW
03:16,75;182,6;177,1;123,1;109,1;0,0;0,0;130;123,1; 67; 60;26,2;REFLOW
03:16,00;182,6;178,2;123,3;109,3;0,0;0,0;130;123,3; 66; 60;26,1;REFLOW
03:17,25;183,7;178,2;123,4;109,4;0,0;0,0;130;123,4; 67; 60;26,2;REFLOW
03:17,50;184,8;178,2;123,5;109,5;0,0;0,0;130;123,5; 69; 60;26,1;REFLOW
03:17,75;184,8;178,2;123,7;109,6;0,0;0,0;130;123,7; 65; 60;26,3;REFLOW
03:17,00;184,8;178,2;123,8;109,6;0,0;0,0;130;123,8; 66; 60;26,3;REFLOW
03:18,25;184,8;178,2;124,0;109,8;0,0;0,0;131;124,0; 67; 60;26,3;REFLOW
03:18,50;184,8;178,2;124,1;110,0;0,0;0,0;131;124,1; 69; 60;26,2;REFLOW
03:18,75;184,8;178,2;124,3;110,2;0,0;0,0;131;124,3; 63; 60;26,3;REFLOW
